root,meaning,origin,sample_words
pejor-,worse,Latin,pejorative
pel-,"clay, mud",Greek,"pelite, pelitic"
pelag-,sea,Greek,"abyssopelagic, allopelagic, archipelagic, archipelago, bathypelagic, epipelagic, hadopelagic, mesopelagic, pelagic, pelagonym"
pelarg-,stork,Greek,"pelargonic, Pelargonium"
"pell-, puls-","drive, push",Latin,"appulse, compel, compulsory, dispel, expel, expulsion, impel, impulse, propel, propellent, propulsion, propulsive, propulsor, pulsate, pulse, push, repel, repellent, repulsive"
"pemp-, pomp-",send,Greek,"apopemptic, hypnopompic, pomp, psychopomp"
pen-,almost,Latin,"peninsula, penultimate, penumbra"
"pen-, poen-, puni-",punish,Latin,"impune, impunity, pain, penal, penalize, penalty, penance, penitence, penitent, penitentiary, pine, punish, punitive, repent, subpoena"
"pend-, pens-",hang,Latin,"append, penchant, pendant, pending, pendulum, pensive, prepense, suspend, suspense"
penia-,deficiency,Greek,leukopenia
"penn-, pinn-",feather,Latin,"pennate, pinnacle, pinnate, pinnule"
pent-,five,Greek,"diapente, pentachoric, pentad, pentagon, pentagram, pentalpha, pentapolis, pentatonic, pentatope, pentode"
pentacosi-,five hundred,Greek,pentacosiomedimni
pentecont-,fifty,Greek,"pentecontad, pentecontagon"
pentecost-,fiftieth,Greek,"Pentecost, pentecostalism"
peper-,pepper,Greek,"paprika, pepper"
pepon-,ripe,Greek,pumpkin
pept-,digest,Greek,"dipeptide, dyspepsia, dyspeptic, eupepsia, eupeptic, monopeptide, oligopeptide, pepsin, peptic, peptide, peptone, polypeptide, tetrapeptide, tripeptide"
"per-, pel-","thoroughly, through",Latin,"pellucid, perfection, permeate, pernicious, persistence, peruse, pervade"
peri-,"pouch, wallet",Greek,peridium
peran-,"across, beyond",Greek,Perates
perdic-,partridge,Greek,"Melanoperdix, partridge"
peri-,around,Greek,"Pericles, pericope, perigee, perihelion, perimeter, period, periphery, periscope"
persic-,peach,Greek,
pessim-,worst,Latin,"pessimal, pessimistic"
pet-,strive toward,Latin,"appetite, compete, competition, impetus, petition, petulant, propitiate, repeat, repetition"
petr-,rock,Greek,"epipetric, petrify, petroglyph, petrographic, petrography, petroleum, petrology, petrosomatoglyph"
phac-,lens,Greek,"Phacochoerus, phacoemulsification"
"phae-, phe-",dark,Greek,"phaeohyphomycosis, phaeomelanin, pheochrome, pheochromocytoma"
phag-,eat,Greek,"autophagosome, autophagy, bacteriophage, dysphagia, esophagitis, geophagia, hematophagy, macrophage, odynophagia, phagocyte, phagocytosis, phagolysosome, phagophilia, phagophobia, phagosome, phagy, polyphagia, pseudodysphagia, sarcophagus"
phalang-,"close formation of troops, finger bones",Greek,"aphalangia, phalanges, phalanx"
phalar-,having a patch of white,Greek,phalarope
pharmac-,"drug, medicine",Greek,"alexipharmic, pharmaceutics, pharmacodynamics, pharmacogenetics, pharmacogenomic, pharmacokinetics, pharmacology, pharmacophobia, pharmacy"
"phan-, phen-","to show, visible",Greek,"diaphanous, emphasis, epiphany, fantasy, phanerozoic, phantasm, phantom, phase, phene, phenetic, phenology, phenomenon, phenotype, photic, prophase, sycophant, telophase, theophany, tryptophan"
"pheb-, phob-",fear,Greek,"autophobia, hydrophobia, panphobia, phobophobia"
"pher-, phor-","bear, carry",Greek,"adiaphora, adiaphorism, anaphor, metaphor, pheromone, phoresis, phoresy, phosphor, prosphora, pyrophoric"
"pheug-, phyg- (ΦΥΓ)",flee,Greek,"apophyge, hypophyge"
"phil-, - phile","love, friendship",Greek,"bibliophile, heterophil, hydrophile, paraphilia, philanthropy, philharmonic, philophobia, philosophy, philter, philtre, philtrum"
phim-,muzzle,Greek,"paraphimosis, phimosis, phimotic"
phleb-,vein,Greek,"phlebitis, phlebography, phlebosclerosis, phlebotomist, phlebotomize, phlebotomy, thrombophlebitis"
"phleg-, phlog-","burn, heat, inflammation",Greek,"phlegm, phlegmasia, phlegmatic, phlegmon, phlegmonous, phlogistic, phlogiston, Phlox"
phloe-,tree bark,Greek,"hypophloeodic, phlobaphene, phloem, phloeophagy"
phlog-,"fire, flame",Greek,
phob-,fear,Greek,"acrophobia, arachnophobia, claustrophobia, ergophobia, homophobia, hydrophobia, zeusophobia"
phon-,sound,Greek,"acrophonic, acrophony, allophone, antiphon, antiphony, aphonia, aphonic, apophony, archiphoneme, cacophony, diaphony, diplophonia, dysphonia, euphonic, euphonious, euphonize, euphony, heterophonic, heterophony, homophone, homophonous, homophony, hypophonesis, ideophone, idiophone, isophone, logophonetic, megaphone, microphone, misophonia, monophonic, monophony, morphophonology, phonaesthesia, phonaesthetics, phone, phonemic, phonesthemic, phonetic, phonetics, phonics, phonogram, phonograph, phonology, phonophobia, phonosemantics, phonotactics, polyphonic, polyphony, stereophonic, symphonic, symphony, telephonic, telephony"
"phos-, phot-",light,Greek,"aphotic, biophoton, cataphote, diphoton, euphotic, microphotograph, phosphor, phosphorus, photic, photo, photobiology, photocatalysis, photochromism, photoelectric, photogenic, photogram, photograph, photography, photolysis, photometer, photometric, photometry, photon, photoperiod, photophobia, photophone, photophore, photopic, photoptarmosis, photosynthesis, phototaxis, phototherapy, phototroph, telephoto"
phrag- (ΦΡΑΓ),fence,Greek,diaphragm
"phren-, phron-",mind,Greek,"euneirophrenia, euphrasy, Euphrosyne, frantic, frenetic, frenzy, oneirophrenia, phrenetic, -phrenia, phrenic, phrenitis, phrenology, phronema, phronesis, phronetic, schizophrenia, sophrosyne"
phryn-,"toad, toad- like",Greek,Phrynobatrachus
phtheg-,utter,Greek,"apophthegm, apophthegmatic, diphthong, diphthongize, monophthong, monophthongize"
phyc-,seaweed,Greek,"phycology, Phycomyces, schizophyceous"
phyl-,tribe,Greek,"phylogenetics, phylum"
phyll-,leaf,Greek,"chlorophyll, phyllotaxis"
phys-,bladder,Greek,"physogastric, physostomous, Triplophysa"
physi-,nature,Greek,"physics, physician"
physalid-,bladder,Greek,physalis
phyt-,plant,Greek,"archaeophyte, autophyte, bryophyte, dermatophyte, neophyte, phytonym, phytoplankton"
pi-,"kind, devout, pity",Latin,"expiate, impious, piety, pious, pity"
pic-,pitch,Latin,piceous
piez-,squeeze,Greek,"isopiestic, piezochromism, piezoelectric, piezometer"
pil-,hair,Latin,"depilatory, epilator"
pil-,"pillar, ball",Latin,"pile, pill, pillar, pillory"
pin- (ΠΟ),drink,Greek,pinocytosis
pin-,pine,Latin,pineal gland
"ping-, pict-",paint,Latin,"depiction, picture, pigment"
pingu-,fat,Latin,"Pinguicula, pinguitude"
pir-,try,Greek,"antipiracy, apeirogon, apeirohedron, piracy, pirate, piratic"
pir-,pear,Latin,piriformis muscle
pisc-,fish,Latin,"Pisces, piscivore"
pis-,pea,Greek,"pisoid, pisolite"
pithec-,"ape, monkey",Greek,"australopithecine, Australopithecus, caenopithecine"
plac-,"plain, plate, tablet",Greek,"Aplacophora, placenta, placode"
plac-,calm,Latin,"implacable, placable, placate, please, supple"
"plac-, plea-",please,Latin,"complacent, complaisant, displease, placebo, placid, plea, please, pleasure"
plag-,oblique,Greek,"plage, plagiocephaly, plagioclase, plagiotropic, playa"
plan-,wander,Greek,"aplanetic, aplanogamete, aplanospore, exoplanet, planet, planetoid, planetonym, planoblast, planogamete, planospore, protoplanet"
plan-,flat,Latin,"applanate, applanation, aquaplane, complanar, complanate, coplanar, coplanarity, deplanate, deplane, emplane, esplanade, explain, explanation, explanatory, peneplain, pianissimo, piano, pianoforte, plain, plaintext, plan, planar, planarian, planary, planate, planation, plane, planification, planiform, planish, planula, planular, planulate"
"plang-, planct-","strike, beat; lament, mourn",Latin,plangent
plas-,mould,Greek,"plasma, plastic, plastique, plastochron, plastromancy, plastron, prosoplasia, protoplasm, pseudoplastic, symplast"
plat-,"flat, broad",Greek,"piazza, place, plaice, plateau, platitude, platyhelminth, platypus, Platyrrhini, platysma, Platyzoa, plaza"
"plaud-, -plod-, plaus-, -plos-","approve, clap",Latin,"applaud, applause, explode, explosion, implode, plaudits, plausible"
ple- (ΠΛΕ),"fill, full",Greek,"pleroma, plethodontid, plethora, plethoric, plethysm, plethysmograph, plethysmometry"
ple-,"sail, swim",Greek,"pleon, pleopod, pleuston"
"ple-, plet-",fill,Latin,"complement, complete, deplete, implement, replete, suppletion, supply"
pleb-,people,Latin,"plebeian, plebs"
"plec-, ploc-","plait, interweave",Greek,"plectics, plexogenic, ploce, symplectic, symplectomorphism, symploce"
"plect-, plex-",plait,Latin,perplex
pleg- (ΠΛΗΓ),strike,Greek,"apoplectic, apoplexy, cataplectic, cataplexy, hemiplegia, monoplegia, paraplegia, plectrum, pleximeter, tetraplegia"
plen-,full,Latin,"plenary, plenitude, plenty, replenish"
plesi-,near,Greek,plesiosaur
pleth- pleur-,"rib, side",Greek,"metapleural, pleura, pleurisy, pleuritis, pleurodynia, pleuron"
plic-,fold,Latin,"appliance, applicability, applicable, applicant, applicate, application, applicative, applicator, applicatory, appliqué, apply, centuplicate, centuplication, complicacy, complicant, complicate, complication, complice, complicity, conduplicate, conduplication, duplication, explicate, explicit, implicate, implicit, imply, plait, pleat, pliable, pliant, plight, ply, replica, replicate, replication, replicative, replicator, reply, splay, subduplicate, supplicant, supplicate, supplication, triplicate, triplicity"
plinth-,brick,Greek,"plinth, Plinthograptis"
ploc- plor-,"cry out, complain",Latin,"deplorable, deploration, deplore, exploration, exploratory, explore, imploration, imploratory, implore"
plu-,rain,Latin,pluvial
plum-,feather,Latin,"plumage, plumate"
plumb-,lead,Latin,plumber
"plur-, plus-",more,Latin,"double, plural, pluralist, plus, quadruple, surplus, triple"
plurim-,most,Latin,plurimal
plut-,wealth,Greek,"ploutonion, plutarchy, plutocracy, plutocrat, plutolatry, plutomania, plutonomics, Plutus"
pne-,"blow, breathe, lung",Greek,"anapnograph, anapnoic, apnea, apnoea, dyspnoea, pleuropneumonia, pneumatic, pneumatology, pneumonia, pneumonic, pneumotaxic"
"pnig-, pnict-",choke,Greek,"pnictide, pnictogen"
"po-, pin- (ΠΟ)",drink,Greek,"pinocytosis, pinosome, symposium"
pod-,foot,Greek,"amphipod, antipode, decapod, podiatry, podium, podomancy, podomere, podopaediatric, polyp, polyposis, sympodium, tetrapod, tripod"
pogon-,beard,Greek,"pogonia, pogoniasis, pogonology, pogonophobia, pogonotrophy, Triplopogon"
"poie-, poe-",make,Greek,"allopoiesis, autopoiesis, onomatopoeia, piyyut, poem, poesy, poet, poetaster, poetic, poiesis"
pol-,pole,Greek,"dipole, polar"
pole-,sell,Greek,"duopoly, monopolist, monopolize, monopoly, oligopolist, oligopoly"
polem-,war,Greek,"polemarch, polemic, polemology"
poli-,city,Greek,"acropolis, biopolitics, cosmopolis, cosmopolitan, Decapolis, ecumenopolis, eperopolis, geopolitics, heptapolis, hexapolis, isopolity, megalopolis, megapolis, metropolis, pentapolis, police, policy, polis, politeia, politic, politicize, politics, politologist, politology, politonym, polity, propolis, tetrapolis, Tripoli"
poli-,"gray, grey",Greek,"poliomyelitis, poliosis"
poll-,many,Greek,
pollic-,thumb,Latin,pollicate
pollin-,fine flour,Latin,pollination
poly-,many,Greek,"hoi polloi, pollakanth, polyadic, polyandry, polygamy, polygon, polyphase, polysaccharide, polytheistic"
pomp- pomph-,blister,Greek,"podopompholyx, pompholyx"
"pon-, posit-",put,Latin,"apposite, apropos, component, depose, deposit, exponent, expose, expound, impose, impound, opponent, position, positive, postpone, posture, propone, proponent, proposition, propound, repose"
ponder-,weight,Latin,"ponder, preponderance"
pont-,bridge,Latin,"pontiff, pontificate, pontoon"
popul-,people,Latin,"population, popular, populous"
por-,passage,Greek,"aporetic, aporia, emporium, gonopore, ozopore, polypore, pore, porism, porismatic"
porc-,pig,Latin,"porcine, pork"
porn-,prostitute,Greek,"pornographic, pornography"
porphyr-,purple,Greek,"porphyrin, porphyritic, porphyrophobia, porphyry"
port-,carry,Latin,"comportment, deport, export, import, port, portable, portage, portal, porter, portfolio, purport, rapport, report, support, transport"
portion-,"part, share",Latin,"portion, proportion"
post-,"after, behind",Latin,"posterior, posterity, postscript"
pot-,power,Latin,"despot, impotent, possess, potent, potentate, potential, power"
pot-,drink,Latin,"potable, potion"
potam-,river,Greek,"autopotamic, hippopotamus, Mesopotamia, potamic, potamodromous, potamology, potamonym, potamophobia, potamoplankton"
prag-,do,Greek,"apraxia, dyspraxia, parapraxis, practic, practice, pragma, pragmatic, pragmatism, pragmatist, praxis"
pras-,leek,Greek,"chrysoprase, prasinous, prasinophobia"
prat-,meadow,Latin,
prav-,crooked,Latin,depravity
pre-,before,Latin,previous
prec-,pray,Latin,"deprecation, imprecation, pray, prayer, precarious"
pred-,prey,Latin,"depredate, predation, predator, predatory, prey"
"prehend-, prend-, prehens-",grasp,Latin,"apprehend, comprehend, comprehensive, enterprise, prehensility, prehension, prey, prison, prize, reprehend, surprise"
"prem-, -prim-, press-",press,Latin,"compress, compression, compressor, depress, depression, depressive, espresso, express, expression, expressive, impress, impression, impressive, imprimatur, imprint, oppress, oppression, oppressive, oppressor, press, pressure, print, repress, repression, repressive, reprimand, suppress, suppression, suppressor"
presby-,old,Greek,"archpresbyter, presbyter, Presbyterianism, presbyterium, presbytery, priest, protopresbyter"
preter-,past,Latin,"preterite, pretermission"
preti-,price,Latin,
pri-,saw,Greek,prion
priap-,,Greek,"priapism, Priapus"
prim-,first,Latin,"coprime, nonprime, prima facie, primacy, primal, primality, primary, primate, prime, primer, primeval, primine, primitive, primogeniture, primordial, primrose, Primula, semiprime, subprimal, subprime"
prior-,former,Latin,"prior, priority, priory, pristine, repristinate, subprior"
prism-,"to saw, something sawed",Greek,"antiprism, prism, prismatic, prismatoid"
priv-,own,Latin,"deprivation, deprive, privacy, private, privateer, privation, privative, privilege, privity, privy, semiprivate"
pro-,"before, in front of",Greek,"prologue, prostate, prow"
pro-,"for, forward",Latin,"procrastinate, propel, propulsion"
prob-,"worthy, good",Latin,"approbation, approve, disapprobation, opprobrium, probable, probation, probe, probity, proof, prove, reprobate, reprove"
proct-,anus,Greek,"Ectoprocta, Entoprocta, epiproct, hypoproct, paraproct, periproct, proctalgia, proctology"
prodig-,waste,Latin,"prodigal, prodigality"
prodig-,prodigy,Latin,"prodigious, prodigy"
propri-,property; one's own,Latin,"appropriate, proper, property, proprietary, proprietor, propriety"
pros-,"forth, forward",Greek,"prosenchyma, prosophobia, prosthesis, prosthion"
prosop-,face,Greek,"aprosopia, diprosopus, prosopography, prosoponym, prosopopoeia, prosopospasm"
prot-,first,Greek,"amphiprotic, antiproton, protagonist, protanomaly, protanopia, protein, protist, protocol, proton, protoplasm, prototype, Protozoa"
proter-,former,Greek,Proterozoic
proxim-,nearest,Latin,"approximate, proximity"
prun-,plum,Latin,prune
psa-,rub,Greek,palimpsest
psall-,pluck,Greek,"psalm, psalmodicon, psalmody, psalter, psaltery, psaltikon"
psamath-,sand,Greek,
psamm-,sand,Greek,"psammite, psammitic, psammoma, psammophile, Psammophis, psammophyte, psammosere, psammous"
pseph-,pebble,Greek,"isopsephy, psephite, psephitic, psephocracy, psephology"
pseud-,false,Greek,pseudonym
pseud-,false,Greek,pseudonym
psil-,bare,Greek,"epsilon, psilanthropism, psilanthropy, psilocybin, psilosis, psilotic, upsilon"
psithyr-,whisper,Greek,Psithyrisma
psittac-,parrot,Greek,"psittacine, psittacism, psittacosis"
psoph-,noise,Greek,"Psophiidae, Psophocichla, psophometer, psophometric"
psor-,itch,Greek,"psora, psoriasis, psoric, psorosis"
psych-,mind,Greek,"hylopsychism, panpsychism, psyche, psychedelia, psychedelic, psychiatry, psychic, psychoanalysis, psychologist, psychology, psychopathic, psychopathy, psychopomp, psychosis, psychotherapy, psychotic, psychoticism"
psychr-,cold,Greek,"psychroalgia, psychrometer, psychrophile, psychrophilic, psychrophily"
pter-,wing,Greek,"apterous, apterygote, archaeopteryx, brachypterous, brachyptery, Chiroptera, chiropterologist, Endopterygota, exopterygote, helicopter, hemipterous, heteropterous, homopterous, Neoptera, peripteros, pterodactyl, pteron, pteropod, pterosaur, pterostigma, pterygote, tetrapterous"
pterid-,fern,Greek,"pteridology, pteridophyte, pteridosperm"
pto-,fall,Greek,"anaptotic, asymptomatic, apoptosis, peripeteia, peripety, polyptoton, proptosis, proptotic, ptomaine, ptosis, ptotic, symptom, symptomatic, symptosis"
ptoch-,poor,Greek,"ptochocracy, ptochology"
pty-,spit,Greek,"hemoptysis, ptyalin, pyoptysis"
ptych-,"fold, layer",Greek,"anaptyctic, anaptyxis, diptych, heptaptych, hexaptych, octaptych, pentaptych, polyptych, tetraptych, triptych"
pub-,sexually mature,Latin,"pubescent, pubic"
public-,public,Latin,"publication, publicity"
pude-,shame,Latin,"impudent, pudendum, repudiate"
"pug-, pugn-",fight,Latin,"impugn, pugilism, pugnacious, repugnant"
pulchr-,beautiful,Latin,pulchritude
pulmon-,lung,Latin,pulmonary
pulver-,dust,Latin,pulverize
"pung-, punct-",prick,Latin,"acupuncture, expunge, poignant, point, punch, punctual, punctuation, puncture, pungent"
pup-,doll,Latin,"pupa, pupate, puppet"
pur-,pure,Latin,"impurity, pure, puree, purge, purify, purity"
purg-,cleanse,Latin,"expurgate, purgatory, purge"
purpur-,purple,Latin,"purpurate, purpureal"
put-,"prune, reckon",Latin,"amputation, compute, dispute, impute, putative, reputation"
py-,pus,Greek,"empyema, pyemia, pyemesis, pyesis, pyocyst, pyogenesis, pyorrhea, pyorrhoea, pyosis, pyoureter"
pyel-,trough,Greek,"pyelectasis, pyelitis, pyelogram, pyelography, pyelonephritis, pyeloscopy"
pyg-,rump,Greek,"callipygian, pygopagus, pygostyle, steatopygia"
pyl-,gate,Greek,"apopyle, micropyle, propylaea, prosopyle, pylon, pyloric, pylorus, tetrapylon, Thermopylae"
pyr-,fire,Greek,"antipyretic, Empyreuma, pyre, pyrite, pyroclastic, pyrolysis, pyromancy, pyromania, pyromaniac, pyrometric, pyrophobia, pyrophoric, pyrosis, pyrosome, pyrotechnic"
pyramid-,,Greek,"dipyramid, pyramid, pyramidion"
pyrrh-,flame- colored,Greek,pyrrhic
quadr-,four,Latin,"quadrangle, quadrennial, quadriceps, quadracycle quadrifarious, quadrifid, quadrifolium, quadrifrons, quadrilateral, quadrilingual, quadriliteral, quadrillion, quadrimester, quadrinational, quadrinodal, quadrinomial, quadrinominal, quadripara, quadrireme, quadrisection, quadrivalent, quadrivium, quadruped, quadruple, quadruplet, quadruplex, quadruplicate, quatrain, quatre, quatrefoil"
quadragen-,forty each,Latin,"quadragenarian, quadragenary"
quadragesim-,fortieth,Latin,"Quadragesima, quadragesimal"
"qual, quant",of how much,Latin,"quality, qualify, quantity, quantum"
quart-,fourth,Latin,"inquartation, interquartile, quadroon, quart, quartal, quartan, quartary, quarte, quarter, quartermaster, quartet, quartic, quartile, quartine, quarto, semiquartile"
quasi-,"as if, almost",Latin,"quasar, quasiparticle"
quatern-,four each,Latin,"biquaternion, quatern, quaternary, quaternate, quaternion, quaternity, quire"
"quati-, -cuti-, quass-, -cuss-",shake,Latin,"cassate, cassation, concussion, concussive, conquassate, decussation, discuss, discussion, discussive, discutient, excuss, excussio, excussion, fracas, percuss, percussion, percussive, percussor, quash, quassation, recussion, repercussion, rescue, squash, squassation, subconcussive, succuss, succussation, succussion, succussive"
"quer-, -quir-, quesit-, - quisit-","search, seek",Latin,"acquest, acquire, acquiree, acquirement, acquisite, acquisition, acquisitive, acquisitory, conquer, conquest, corequisite, disquisition, exquire, exquisite, inquest, inquire, inquiry, inquisition, inquisitive, inquisitor, inquisitorial, inquisitory, perquisite, perquisition, prerequisite, quaere, quaestor, query, quest, question, questionable, questionary, questionnaire, questor, reconquer, reconquest, request, require, requirement, requisite, requisition, requisitive, requisitor, requisitory"
qui-,rest,Latin,"acquiesce, acquiescence, acquiescent, acquit, acquittal, acquittance, inquietude, quiescence, quiescent, quiet, quietude, quietus, quit, requiem, requiescat"
quin-,five each,Latin,"biquinary, quinarius, quinary, quinate"
quindecim-,fifteenth,Latin,quindecimal
quinden-,fifteen each,Latin,quindenary
quinque-,five,Latin,"cinquain, cinque, quinquefoil, quinquennial, quinquennium, quinquepartite, quinquevalent"
quint-,fifth,Latin,"biquintile, quint, quinta, quintal, quintan, quintant, quintary, quinte, quintessence, quintessential, quintic, quintile, quintipara, quintus, semiquintile"
quot-,"how many, how great",Latin,"aliquot, quota, quote, quoth, quotient, subquotient"
"rad-, ras-","scrape, shave",Latin,"abrade, abrasion, abrasive, corrade, corrasion, erase, erasure, nonabrasive, radula, radular, raduliform, rase, rash, rasorial, raster, rasure, subradular"
radi-,"beam, spoke",Latin,"radiance, radiation"
radic-,root,Latin,"eradicate, radical, radix"
ram-,branch,Latin,"ramification, rammel, ramose, ramous, ramulose, ramulous"
ran-,frog,Latin,Rana
ranc-,"rancidness, grudge, bitterness",Latin,"rancid, rancor"
rap-,"rob, seize",Latin,"arreption, arreptitious, enrapt, enrapture, rapacious, rapacity, rape, rapid, rapidity, rapine, rapt, raptio, raptor, raptorial, rapture, rapturous, raptus, ravenous, ravine, ravish, subreption, subreptitious, surreptitious"
rap-,turnip,Latin,rapeseed
raph-,"sew, seam",Greek,"raphae, raphe"
rar-,rare,Latin,rarity
rauc-,"harsh, hoarse",Latin,raucous
"re-, red-","again, back",Latin,"recede, redact"
"rect-, reg-, - rig-","straight, direct",Latin,"correct, direct, dirigible, erect, erection, ergo, rectangle, rectify, rectitude, rectum, regent, regime, regimen, regiment, region, surge"
"reg-, rex-",king,Latin,"regal, regency, regicide, Regis, regulation, reign, rex, royal"
regul-,rule,Latin,"regular, regulate, regulation, rule"
rem-,oar,Latin,"bireme, trireme"
ren-,kidney,Latin,renal
"rep-, rept-","crawl, creep",Latin,reptile
resid-,left behind,Latin,"reside, residence, resident, residual, residue"
ret-,net,Latin,"reticle, retina"
retro-,"backward, behind",Latin,"retrograde, retrospective, retrovirus"
rhabd-,rod,Greek,"Rhabdodon, rhabdoid, rhabdom, rhabdomancy, rhabdomyolysis, rhabdomyosarcoma"
"rhach-, rach-",spine,Greek,"rachipagus, rachis, rachischisis, rhachiodont, rhachis"
"rhag-, rheg-","rend, tear",Greek,"bronchorrhagia, hemorrhage, menorrhagia, regma, rhagades, rhegma, rhegmatogenous, rhexis"
