root,meaning,origin,sample_words
integr-,"whole, complete",Latin,"integrate, integration, integer, integrational, disintegrate, integral, unintegrated"
inter-,"among, between",Latin,"intercollegiate, intermission, intersection"
intra-,"inside , within",Latin,"intramural, intravenous"
iota-,"I, i",Greek,iotacism
"irasc-, irat-",be angry,Latin,"irascible, irate, ire"
irid-,rainbow,Latin,iridescent
"is-, iso-","equal, same",Greek,"isogloss, isograph, isometric, isomorphic, isosceles, isotonic, isotropic"
-itis,inflammation,Greek,"appendicitis, diverticulitis, arthritis, tonsillitis, dermatitis, iritis, carditis, gastritis, colitis, cystitis"
ischi-,hip joint,Greek,"ischiadic, ischium, sciatic, sciatica"
iter-,again,Latin,iteration
itiner-,journey,Latin,itinerary
jac-,lie,Latin,"adjacency, adjacent, circumjacency, circumjacent, ease, easy, interjacent, interjoist, joist, nonadjacent, subjacent, superjacent"
"jac-, - ject-","cast, throw",Latin,"abject, adjectival, adjective, conjectural, conjecture, deject, dejection, disject, disjection, ejaculate, ejaculation, ejaculatory, eject, ejecta, ejection, ejective, ejectment, ejector, inject, injection, injective, injector, interject, interjection, interjectional, interjector, interjectory, introject, introjection, introjective, jactation, jactitation, jaculate, jaculation, jaculator, jaculatory, jaculiferous, jet, jetsam, jettison, nonobjective, object, objectification, objection, objectionable, objective, objectivity, objector, parget, project, projectile, projection, projective, projector, reject, rejectamenta, rejection, subject, subjection, subjective, subjectivity, subjicible, surjection, surjective, traject, trajectile, trajection, trajectory, trijet"
janu-,door,Latin,"janitor, January, janus words, Janus"
joc-,jest,Latin,"jewel, jewelry, jocose, jocosity, jocular, jocularity, joke, jongleur, juggle, injucundity, jocund, jocundity"
journ-,"pertaining to the day, daily",Latin,"adjourn, journal, journalist, journey, journeyman, sojourn"
jub-,"joyful, happy",Greek and Latin,"jubilance, jubilant, jubilation, jubate, jubilee"
judic-,judge,Latin,"adjudicate, adjudication, adjudicative, adjudicator, adjudicatory, extrajudicial, injudicious, judge, judgement, judgment, judgmental, judicable, judicative, judicator, judicatory, judicature, judicial, judiciary, judicious, nonjudgmental, nonjudicial, prejudge, prejudgment, prejudice, prejudicial, quasijudicial"
jug-,yoke,Latin,"conjugal, subjugate"
"jung-, junct-",join,Latin,"adjoin, adjoint, adjunct, adjunction, adjunctive, conjoin, conjoint, conjunct, conjunction, conjunctive, disjoin, disjoint, disjunct, disjunction, disjunctive, enjoin, enjoinder, enjoinment, injunction, injunctive, join, junction, juncture, junta, junto, nondisjunction, nonjoinder, rejoin, rejoinder, sejoin, sejungible, subjoin, subjoinder, subjunctive, surrejoinder"
junior-,younger,Latin,"junior, juniority"
"jus-, jur-","law, justice",Latin,"abjure, jurisprudence, jury, just, justice, objurgate, perjury"
"juv-, jut-",help,Latin,"adjument, adjutant, adjutor, adjutory, adjutrix, coadjutant, coadjutor"
juven-,"young, youth",Latin,"juvenile, rejuvenate"
juxta-,"beside, near",Latin,juxtaposition
-kary-,nut,Greek,"Eukaryote, Prokaryote"
kastan-,brown,Greek,Kastanophobia
kilo-,thousand,Greek,"kilobyte, kilogram, kilometer, kiloliter"
"kine-, cine-","movement, motion",Greek,"akinesia, akinesis, akinete, akinetic, cinema, cinematic, diakinesis, dyskinesia, dyskinetic, hyperkinesia, hyperkinesis, hyperkinetic, hypokinesia, hypokinesis, hypokinetic, kinematics, kinescope, kinesiologist, kinesiology, kinesis, kinesthetic, kinetic, kineticism, kinetics, kinetochore, kinetophobia, photokinesis, telekinesis"
klept-,steal,Greek,"kleptocracy, kleptomania, kleptophobia, kleptoplasty"
ktet-,"possession, ownership",Greek,"ktetic, ktetor"
kudo-,glory,Greek,kudos
"lab-, lep-","grasp, seize, take",Greek,"analemma, analemmatic, analeptic, catalepsy, cataleptic, dilemma, dilemmatic, epilepsy, epileptic, hypnolepsy, hysteroepilepsy, metalepsis, narcolepsy, nympholepsy, octosyllabic, procatalepsis, prolepsis, proleptic, proslepsis, syllabic, syllabism, syllable, syllabogram, syllepsis, trisyllabic, trisyllable"
"lab-, laps-","slide, slip",Latin,"collapse, collapsible, elapse, labile, lapse, prolapse, relapse"
labi-,lip,Latin,"bilabial, bilabiate, infralabial, labial, labiate, labium, sublabial, supralabial"
labor-,work,Latin,"collaborate, collaboration, collaborative, collaborator, elaborate, elaboration, elaborative, elaborator, labor, laboratory, laborious"
lacer-,tear,Latin,laceration
lacrim-,"cry, tears",Latin,"lachrymal, lachrymose, lachrymosity, lacrimal, lacrimation, lacrimator, lacrimatory, lacrimous"
lact-,milk,Latin,"ablactate, ablactation, lactary, lactase, lactate, lactation, lactational, lacteal, lacteous, lactescent, lactic, lactose, laitance, latte"
lag-,hare,Greek,"lagomorph, Sylvilagus"
lamin-,"layer, slice",Latin,"bilamellate, bilaminar, lame, lamé, lamella, lamellar, lamellate, laminate, lamination, laminose, laminous, multilaminar, omelet, omelette, trilaminar, unilaminar"
lamp-,"shine, torch",Greek,"lamp, lamprid, Lampris"
lapid-,stone,Latin,"dilapidate, dilapidation, lapidarian, lapidary, lapidate, lapidation, lapidator, lapideous, lapidescence, lapidescent, lapidicolous, lapidification, lapillation, lapilli"
larg-,large,Latin,"allargando, enlarge, enlargement, largamente, largando, large, largess, largesse, largition, largo"
larv-,"ghost, mask",Latin,"larva, larvae, larval"
lat-,"broad, wide",Latin,"laticlave, latifoliate, latifundium, latitude, latitudinal, latitudinarian, latitudinous"
later-,side,Latin,"ambilateral, ambilaterality, bilateral, bilaterality, collateral, contralateral, equilateral, extralateral, inequilateral, ipsilateral, lateral, laterality, matrilateral, multilateral, nonlateral, patrilateral, plurilateral, quadrilateral, semilatus, septilateral, trilateral, unilateral"
"laud-, laus-",praise,Latin,"laud, laudable, laudanum, laudation, Lauds, summa cum laude"
lav-,wash,Latin,"launder, laundry, lava, lavation, lavatory, lave, lavender, lavish, lotion"
lax-,"not tense, slack",Latin,"delay, disrelish, laches, lax, laxation, laxative, laxity, leasable, lease, relax, relaxant, relaxation, relay, release, relish, sublease"
lecith-,egg yolk,Greek,lecithin
"led-, les-, -lid-, -lis-","hurt, strike",Latin,"allision, collide, collision, elide, elidible, elision, illesive, lesion"
leg-,say,Greek,"alexia, alexithymia, apologetic, apologia, apology, dialect, dialectic, dialectologist, dialectology, dialog, dialogue, dyslexia, dyslexic, dyslogia, dyslogism, ethnolect, legomenon, lexeme, lexicography, lexicology, lexicon, lexigram, lexis, logic, logion, logos, prolegomenon"
"leg-, lect-","choose, gather, read",Latin,"coil, colleague, collect, collectible, collection, collective, collector, college, collegial, collegiality, collegian, collegiate, collegium, counterintelligence, cull, deselect, diligence, diligent, elect, electability, electable, electee, election, elective, elector, electoral, electorate, eligibility, eligible, elite, illegibility, illegible, ineligibility, ineligible, intellect, intellection, intellectual, intellectuality, intelligence, intelligent, intelligentsia, intercollegiate, lectern, lectin, lection, lectionary, lector, lectorate, lecture, legend, legendary, legendry, legibility, legible, legion, legionary, legionnaire, legume, leguminous, lesson, neglect, negligee, negligence, negligent, negligible, nonelective, nonelite, nonnegligible, nonselective, postelection, predilect, predilection, preelection, prelect, prelection, prelector, preselect, recollect, recollection, reelect, reelection, religion, reselect, sacrilege, select, selectance, selectee, selection, selective, selectivity, selector, superselection, uniselector"
leg-,law,Latin,"allege, disloyal, disloyalty, extralegal, illegal, legal, legality, legific, legislate, legislation, legislative, legislator, legislature, legitim, legitimacy, legitimate, loyal, loyalty, nonlegal, privilege"
leg-,send,Latin,"allegation, delegable, delegacy, delegate, delegatee, delegation, delegator, delegatory, league, legacy, legatary, legate, legatee, legatine, legation, legato, nondelegate, relegate, relegation, superdelegate"
lei-,smooth,Greek,leiomyoma
"lekan-, lanx-, lanc-","dish, pot",Greek/Latin,"balance, lekane, phalanx, valance"
leni-,gentle,Latin,"leniency, lenient, leniment, lenis, lenition, lenitive, lenitude, lenity"
leon-,lion,Latin,"dandelion, Leo, leonine, Leopold"
lep-,"flake, peel, scale",Greek,"antilepton, lepidolite, Lepidoptera, Lepidorhombus, lepidote, lepidotrichia, leprosy"
lepto-,"small, fine, thin",Greek,"leptocyte, leptogenesis, Leptomonas, lepton, leptophyllous"
"leuc-, leuk-",white,Greek,"aleukemia, aleukocytosis, leucism, leucocyte, leucopenia, leucoplast, leukemia, leukocytopenia, leukopenia, leucophore"
lev-,"lift, light, raise",Latin,"alleviate, alleviation, bas-relief, counter-relief, deleverage, elevate, elevation, elevator, leaven, legerity, levade, Levant, levee, lever, leverage, leviable, levitate, levitation, levity, levy, relevé, relief, relieve, sublevation, superelevation"
liber-,free,Latin,"deliver, deliverance, illiberal, illiberality, liberal, liberality, liberalize, liberate, liberation, liberator, libertarian, liberticide, libertinage, libertine, liberty, ultraliberal"
libr-,book,Latin,"interlibrary, libel, libellant, libellee, libellous, librarian, library, libretto"
lig-,bind,Latin,"ligament, ligature"
limac-,slug,Latin,"limacine, limacoid, limacon, Limax"
limpa-,"clear, water",Latin,"limpid, limpidity, lymph"
line-,line,Latin,"align, alignment, ambilineal, ambilineality, bilinear, collinear, collinearity, collineation, curvilinear, curvilinearity, delineate, delineation, delineavit, line, linea, lineage, lineal, lineament, linear, linearity, lineate, lineation, matrilineal, multicollinearity, multilinear, nonalignment, noncollinear, nonlineal, nonlinear, nonlinearity, quasilinear, realign, realignment, rectilinear, rectilinearity, sesquilinear, sublineage, sublinear, supralinear, trilinear, unilinear"
line-,"smear, smudge",Latin,"delete, deletion, indelible, liniment"
lingu-,"language, tongue",Latin,"bilingual, bilinguality, bilinguous, collingual, elinguation, interlanguage, language, ligula, ligular, ligule, lingua franca, lingual, linguiform, linguine, multilingual, prelingual, quadrilingual, sublingual, trilingual"
"linqu-, lict-",leave,Latin,"relict, relinquish"
lip-,fat,Greek,"lipolysis, lipophile, lipophilic, lipopolysaccharide, lipoprotein, synaloepha"
liqu-,flow,Latin,"deliquesce, liquefy, liqueur, liquid, liquor, prolix"
lit-,"prayer, supplication",Greek,litany
liter-,letter,Latin,"alliteration, alliterative, biliteral, biliterate, illiteracy, illiterate, literacy, literal, literary, literate, literati, literatim, literation, literator, literature,"
lith-,stone,Greek,"aerolithology, endolith, endolithic, epilithic, lithagogue, lithic, lithography, lithology, lithophile, lithophone, lithophyte, lithosphere, lithotomy, megalith, Mesolithic, microlite, monolith, monolithic, Neolithic, Paleolithic, photolithography, phytolith, regolith, stylolite"
loc-,place,Latin,"accouchement, allocate, bilocation, bilocular, cislocative, collocation, couch, couchant, dislocate, dislocation, interlocal, lieu, local, locale, locality, locate, location, locative, locator, locomotion, loculament, locular, locule, loculose, loculus, locus, milieu, multilocal, multilocation, multilocular, nonlocal, relocate, relocation, translocate, translocation, translocative, trilocular, unilocular"
"log-, - logy","word, reason, speech, thought",Greek,"analogy, anthology, apology, biology, dialogue doxology, ecology, epilogue, etymology, eulogy, geology, ideologue, logarithm, logic, logogram, logopaedics, logophile, logotherapy, meteorology, monologue, morphological, neologism, neurology, philology, prologue, psychology, tautology, terminology, theology, toxicology, trilogy, zoology"
long-,long,Latin,"allonge, elongate, elongation, longa, longanimity, longe, longeron, longinquity, longitude, longitudinal, longum, lunge, lungo, oblong, prolong, prolongation, purloin"
"loqu-, locut-",speak,Latin,"allocution, circumlocution, colloquial, colloquy, elocution, eloquent, eloquence, grandiloquent, interlocution, loquacious, loquacity, magniloquent, obloquy, soliloquy"
luc-,"bright, light",Latin,"elucidate, elucidation, elucubrate, elucubration, lucent, lucid, lucidity, Lucifer (bearer of light), luciferase, luciferin, luciferous, lucifugal, lucubrate, lucubration, luculent, noctilucent, pellucid, pellucidity, relucent, semipellucid, translucency, translucent, translucid, translucidus"
"lud-, lus-",play,Latin,"allude, collude, delude, elude, elusive, elusory, illude, illusion, ludicrous, lusory, prelude"
lumin-,light,Latin,"dislimn, enlumine, illuminable, illuminance, illuminant, illuminate, illuminati, illumination, illumine, intraluminal, limn, lumen, luminaire, luminal, luminance, luminant, luminaria, luminary, lumine, luminescence, luminescent, luminiferous, luminosity, luminous, relumine, subluminal, subluminous, superluminal, transluminal"
"lu-, luv-, lut-",wash,Latin,"abluent, ablution, alluvium, colluvium, deluge, depollute, diluent, dilute, dilution, dilutive, diluvial, diluvian, diluvium, elute, elution, eluvial, elluviation, eluvium, illuviation, illuvium, lutaceous, lutite, pollution"
lun-,moon,Latin,"circumlunar, cislunar, demilune, luna, lunar, lunate, lunatic, lunation, lune, lunette, luniform, lunisolar, mezzaluna, mezzelune, plenilunary,"
lut-,"yellow, golden",Latin,"corpus luteum, luteal, lutein, luteinizing hormone, luteous"
"ly-, lysi-, lyt-",dissolving,Greek,"analyse, analysis, analytic, aparalytic, autolysis, catalyse, catalysis, catalyst, catalytic, cytolysis, dialysis, electrolysis, electrolyte, electrolytic, Hippolyte, hydrolysis, hydrolyte, hydrolytic, lysigeny, lysine, lysis, lysosome, lytic, meta- analysis, palsy, paralyse, paralysis, paralytic, plasmolysis, proteolysis"
lyc-,wolf,Greek,"Lycaon, lycanthropy, lycopersicon, lycoris"
macer-,lean,Latin,"emaciate, macerate, meager"
macr-,long,Greek,"macron, macrocosm, macroinstruction"
magn-,"great, large",Latin,"magnanimity, magnanimous, magnate, magnificent, magnify, magnitude, magnum"
magnet-,lodestone,Greek,"bioelectromagnetism, biomagnetism, diamagnetic, diamagnetism, electromagnet, geomagnetic, magnesium, magnet, magnetic, magnetism, magnetite, magnetize, magnetobiology, magnetologist, magnetometer, magnetosome, manganese, paramagnetic, paramagnetism"
maj-,greater,Latin,"majesty, major, majority, majuscule, mayor, semimajor, supermajority"
mal-,"bad, wretched",Latin,"dismal, grand mal, malady, malaise, malediction, malefaction, malevolent, malfeasance, malfunction, malice, malicious, malignancy, malnourished, malodorous, premalignant"
mamm-,breast,Latin,"mammal, mammary, mammography"
"man-, mant- (ΜΑΝ)",crazy,Greek,"hypermania, hypomania, kleptomania, mania, maniac, manic, megalomania, monomania, pyromania, pyromaniac"
man-,flow,Latin,"emanant, emanate, emanation, immanant, immanation"
man- (MAN-),stay,Latin,"immanence, immanent, impermanence, impermanent, maisonette, manor, manorial, manse, mansion, ménage, menagerie, menial, meiny, messuage, nonpermanence, nonpermanent, permanence, permanent, quasipermanent, remain, remainder, remanence, remanent, remnant, semipermanent"
"man-, manu-",hand,Latin,"adminicle, amanuensis, Bimana, bimanous, bimanual, emancipate, mainour, maintain, manacle, manage, manageable, management, managerial, mandamus, mandate, manège, maneuver, manicure, manifer, manifest, manifestation, manifesto, maniform, maniple, manipulation, manipulative, maniraptoran, maniraptoriform, manner, mansuetude, manual, manuary, manubrial, manubrium, manuduction, manufacture, manumission, manumit,"
"mand-, -mend-","order, commit",Latin,"command, commandant, commandment, commend, commendable, commendam, commendation, commendatory, counterdemand, countermand, demand, demandant, encomienda, mandamus, mandatary, mandate, mandator, mandatory, recommend, recommendation, remand, remandment"
mar-,sea,Latin,"maar, mariculture, marina, marinade, marinara, marinate, marination, marine, mariner, maritime, submarine, ultramarine"
mas-,"male, man",Latin,"emasculate, emasculation, emasculator, masculate, masculine, masculinity"
"mater-, matr-",mother,Latin,"maternal, maternity, matrimony, matrix, matron"
maxim-,greatest,Latin,"maxim, maximal, maximum, submaximal"
mechan-,machine or instrument,Greek,"machine, mechane, mechanics, mechanism, mechanize, mechanobiology, mechanophilia, mechanophobia"
"medi-, -midi-",middle,Latin,"dimidiation, immediate, intermediary, mean, media, median, mediate, mediation, medieval, mediocre, Mediterranean, medium, moiety, multimedia, postmeridian, submediant"
"meg-, megal-","great, large",Greek,"acromegaly, Megacles, megacycle, megalomania, megalopolis, megaphone"
mei-,less,Greek,"ameiosis, ameiotic, meiobenthos, meiosis, meiotic"
melan-,"black, dark",Greek,"amelanism, aphaeomelanism, eumelanin, hypermelanic, melancholic, melancholy, Melanesia, melanin, melanism, melanoblastoma, melanocyte, melanoma, melanophobia, melanophore, melanosis, melatonin, neuromelanin, pheomelanin"
melior-,better,Latin,"ameliorate, amelioration, meliorism"
meliss-,bee,Greek,melissophobia
mell-,honey,Latin,"melliferous, mellific, mellifluence, mellifluent, mellifluous, melliloquent, mellivorous"
memor-,remember,Latin,"commemorate, immemorial, memoir, memorabilia, memorable, memorandum, memorial, memory, remembrance"
men-,month,Greek,"menopause, menorrhea"
mening-,membrane,Greek,"leptomeninges, meninges, meningioma, meningitis, meninx"
