root,meaning,origin,sample_words
ara-,"plow, till",Latin,"arability, arable, aration, aratory, exarate, exaration, inarable, nonarable"
arachn-,spider,Greek,"Arachne, arachnid, arachnodactyly, arachnoid, arachnology, arachnophobia"
arbit-,judge,Latin,"arbiter, arbitrage, arbitrary, arbitration"
arcan-,box,Latin,"arcane, arcanum"
arch-arche- archi-,ruler,Greek,"anarchism, anarchist, anarchy, andrarchy, antarchy, archangel, archetype, architect, archon, autarch, autarchism, autarchy, eparch, eparchy, exarch, gynarchy, monarch, monarchism, monarchist, monarchy, navarch, octarchy, oligarchy, patriarchy, plutarchy, polyarchy, synarchism, synarchy, tetrarchy, triarchy, trierarch"
"archae-, arche-",ancient,Greek,"Archaea, archaeoastronomy, archaeology, archaic, archaism, archegonium, archeology"
arct-,Relating to the North Pole or the region near it; relating to cold,Greek,"Antarctic, arctic, Arctic Ocean, palearctic"
ard-,"heat, glow, passion",Latin,"ardent, ardor, arson"
ardu-,difficult,Latin,arduous
aret-,virtue,Greek,"aretaic, arete"
argent-,silver,Latin,"argent, Argentina"
arid-,be dry,Latin,arid
arist-,excellence,Greek,"aristocracy, aristocrat"
arithm-,"count, number",Greek,"antilogarithm, arithmetic, arithmomania, logarithm, logarithmic"
arm-,weapon,Latin,"armament, armistice, armor, armory, arms, army, disarm, rearm"
arsen-,male,Greek,"arsenic, arsenopyrite"
art-,"art, skill",Latin,"artifact, artifice, artificial, artificiality, artisan"
arthr-,joint,Greek,"Anarthria, arthritic, arthritis, arthrogryposis, arthropathy, arthroplasty, arthropod, arthroscope, arthroscopic, arthroscopy, arthrosis, dysarthria, osteoarthritis, spondyloarthropathy"
arti-,even,Greek,"artiodactyl, artiodactylous"
asc-,bag,Greek,"ascidium, ascites, ascitic, ascocarp, ascoma, ascomycete, Ascomycota, ascospore, ascus"
asin-,"donkey, ass",Latin,"asinine, ass, easel"
asper-,rough,Latin,"asperity, exasperate"
aspr-,white,Greek,diaper
"aster-, astr-","star, star- shaped",Greek,"aster, asterisk, asteroid, astrology, astronomy, astronaut, diasterism geaster, monaster"
asthen-,weak,Greek,"asthenopia, asthenosphere, asthenozoospermia"
ather-,gruel,Greek,"atherogenic, atheroma, atherosclerosis"
athl-,contest,Greek,"athlete, athletic, decathlon, pentathlon, triathlon"
-athroid-,gathered or lumped together,Greek,"epiathroid, hypoathroid"
audac-,daring,Latin,"audacious, audacity"
aud-,"hearing, listening, sound",Latin,"audible, audience, audio, audiobook, audiology, audiovisual, audit, audition, auditorium, auditory"
"aug-, auct-","grow, increase",Latin,"auction, augend, augment, augmentation, augur, augury, august, author, auxiliary, inauguration"
aul-,"flute, tube",Greek,"aulete, aulos, hydraulic, hydraulus"
aur-,"relating to gold, or gold- colored",Latin,"aureate, aureole"
"auri-, aus-",relating to the ear,Latin,"aural, auricle, aurinasal, auscultate, auscultation"
"aut-, auto-",self; directed from within,Greek,"autarchism, autarchy, autarky, authentic, autism, autistic, autobiography, autocracy, autograph, autoimmune, automatic, automaton, automobile, autonomy, autopilot"
aux-,increase,Greek,"auxanogram, auxanography, auxanology, auxanometer, auxesis, auxetic, auxin, auxochrome, auxology, auxotroph, auxotrophy"
av-,desire,Latin,"avarice, avaricious, avarous, ave, avid, avidity"
"avi-, au-",bird,Latin,"auspice, auspicious, avian, aviary, aviation, aviator"
axi-,"merit, worth",Greek,"axiology, axiom, axiomatic"
axi-,axis,Latin,"axion, axis, axisymmetry"
axon-,"axis, axle",Greek,"axon, axonography, axonometric, axonotmesis"
ba- (ΒΑ),to step,Greek,"acrobat, acrobatic, adiabatic, aerobatic, anabasis, anabatic, antiparabema, base, basic, basidiocarp, basidioma, basidiomycete, basidiospore, basidium, basion, basionym, basis, basophilic, bema, catabasis, catabatic, diabase, diabatic, diabetes, diabetic, dibasic, hyperbaton, hypobasis, katabasis, katabatic, monobasic, polybasic, stereobate, stylobate, tribasic"
bac-,rod- shaped,Latin,"baculiform, baculum, bacteria"
"bal-, bel-, bol- (ΒΑΛ)",throw,Greek,"ametabolic, ametabolism, amphibole, amphibolic, amphibolite, amphibolous, amphiboly, anabolic, anabolism, astrobleme, ball, ballism, ballista, ballistic, ballistospore, belomancy, belonephobia, bolide, bolometer, catabolic, catabolism, devil, diabolic, emblem, emblematic, embolic, embolism, embolismic, embolize, embolon, embolus, emboly, hemiballismus, holometabolism, hyperbola, hyperbole, hyperbolic, hyperboloid, metabolic, metabolism, metabolite, metabolize, palaver, parable, parabola, parabolic, paraboloid, parle, parley, parol, parole, problem, problematic, symbol, symbolic, symbolism, symbolist, symbolize, symbology, taurobolium, thromboembolism"
bapt- (ΒΑΦ),dip,Greek,"abaptiston, Anabaptist, baptism, baptize"
bar-,"weight, pressure",Greek,"abarognosis, antibaryon, baresthesia, bariatric, baritone, barognosis, barogram, barograph, barometer, barometric, barophobia, barostat, barycentre, barycentric, baryogenesis, baryon, barysphere, baryton, barytone, hyperbaric, hypobaric, isobar, isobaric"
bas-,step,Greek,
bath-,"deep, depth",Greek,"batholith, bathophobia, bathos, bathymetry, bathyscaphe, bathysphere, isobathic"
"be-, beat-",bless,Latin,beatification
"bell-, belli-",war,Latin,"antebellum, bellicose, belligerent, rebellion"
ben-,"good, well",Latin,"beneficence, benefit, benevolent, benign, benignant, benignity"
bet-,"B, b",Greek,"alphabet, alphabetic, analphabetic, panalphabetic, polyalphabetic"
"bi-, bin-, bis-",two,Latin,"bicycle, biennial, bifocal, bisexual, bigamy, binary, binoculars, bipod bipolar biscotti"
bib-,drink,Latin,"bib, beer, beverage, imbibe"
bibl-,book,Greek,"bible, biblioclasm, biblioclast, bibliogony, bibliographic, bibliography, biblioklept, bibliomancy, bibliomania, bibliophile, bibliophilia, bibliophobe, bibliophobia, bibliotaph"
"bio-, bi-",life,Greek,"abiogenesis, abiotic, aerobiology, anhydrobiosis, anoxybiosis, antibiotic, astrobiology, autobiography, biocentrism, biochron, biocoenosis, biogenesis, biographic, biography, biologism, biologist, biology, biome, biometric, biomorph, biomorphism, biophilia, biophysicist, biophysics, biopoiesis, biopolymer, biopsy, biorhythm, biosemiotic, biosphere, biostasis, biosynthesis, biota, biotic, biotin, biotope, biotype, biozone, chemobiosis, cryobiosis, cryptobiosis, ectosymbiosis, endosymbiont, endosymbiosis, enterobiasis, exobiology, macrobiotic, microbiology, osmobiosis, probiotic, symbiogenesis, symbiology, symbiont, symbiosis, symbiotic"
blast-,"germ, embryo, bud, cell with nucleus",Greek,"blastema, blastochyle, blastocoel, blastocoele, blastocyst, blastoderm, blastoma, blastula, cytotrophoblast, diploblasty, ectoblast, endoblast, entoblast, fibroblast, osteoblast, sideroblast"
blenn-,slime,Greek,"blennadenitis, blennophobia, blennosperma, blennorrhagia"
bol-,throw,Greek,
bol-,"clod, lump",Greek,"bole, bolus, embolism"
bomb-,boom,Greek,"bomb, bound"
bon-,good,Latin,"bonify, bonitary"
bore-,north,Latin from Greek,borealis
botan-,plant,Greek,"botanic, botanist, botanology, botany"
"bov-, bu-","cow, ox",Latin,"beef, boor, bovine, bucinator muscle"
"brachi-, brachio-",arm,Latin from Greek,"brachiferous, brachial artery, brachiocubital"
"brachi-, brachio-, brachion-, brachioni-",arm,Greek,"brachialgia, brachionerysipelas, brachionigraph, brachiorrhachidian, Brachiosaurus"
brachy-,short,Greek,"amphibrach, brachistochrone, brachycephaly, brachydactyly, brachyury, dibrach, tribrach"
"brady-, bradys-",slow,Greek,"bradycardia, bradysuria, bradytelic"
branchi-,gill,Greek,"branchiopneustic, branchiopod, nudibranch"
broc-,"rain, wet",Greek,"embrocation, embrocate"
brev-,"brief, short (time)",Latin,"abbreviate, brevextensor, brevicaudate, brevity, brief"
"bromat-, bromato-, broma-, bromo-",food,Greek,"bromatium, bromateccrisis, bromatherapy, bromatology, bromography"
brom-,oats,Greek,"brome, Bromus, Bromus ramosus"
brom-,stench,Greek,"bromate, bromide, bromine, bromoderma, organobromine"
bronch-,windpipe,Greek,"bronchia, bronchiole, bronchion, bronchitis, bronchomalacia, bronchopneumonia, bronchus, tracheobronchomalacia"
bront-,thunder,Greek,"brontology, brontophobia, Brontosaurus"
brot-,mortal,Greek,"ambrosia, ambrotype"
bucc-,"cheek, mouth, cavity",Latin,"buccal, buccilingual, buccolingual"
bulb-,bulbous,Latin,"bulbiform, bulbiparous, bulboartrial, bulborrhexis, bulbous, bulbule"
bull-,"bubble, flask",Latin,"bullectomy, bulliferous, ebullient, ebullism"
burs-,"pouch, purse",Latin,"bursa, bursalogy, bursar, bursary, bursectomy, bursiform, disburse"
butyr-,butter,Greek,butyric
byss-,bottom,Greek,"abyss, abyssopelagic, hypabyssal"
byss-,flax,Greek,byssus
"cac-, kak-",bad,Greek,"cachexia, cacistocracy, cacodemon, cacoepy, cacography, cacophobia, cacophobe, cacophobic, cacophonous, cacophony, cacorrhacitis, kakistocracy, kakistocrat"
"cad-, -cid-, cas-",fall,Latin,"accidence, accident, accidental, cadaver, cadaverine, cadaverous, cadence, cadency, cadent, cadential, cadenza, caducity, caducous, cascade, case, casual, casualty, casuistry, chance, cheat, chute, coincide, coincidence, coincident, coincidental, decadence, decadent, decay, decidua, decidual, deciduate, deciduation, deciduous, demicadence, escheat, escheatable, escheatage, escheatment, escheator, incidence, incident, incidental, nonaccidental, nondeciduous, nonincidental, parachute, postaccident, procidentia, recidivous, semelincident"
"caed-, -cid-, caes-, -cis-","cut, kill",Latin,"caespitose, caesura, cement, cementation, cementitious, cementum, cespitose, chisel, circumcise, circumcision, concise, concision, decidability, decidable, decide, decision, decisive, deciso, excide, excise, excision, excisional, fungicide germicide, genocide, herbicide homicide, imprecise, imprecision, incise, incision, incisive, incisor, incisory, incisure, indecision, indecisive, occision, pesticide, précis, precise, precision, scissors, semidecidable, succise, succision, suicide"
"cal-, call-",beautiful,Greek,"calisthenics, calligraphy, Callista, Callisto, calophyllous, kaleidoscope"
cal-,call,Latin,"calendar, claim, class, conciliate, conciliatory, council, intercalate, nomenclature"
cal-,heat,Latin,"caldarium, caldera, calefacient, calefaction, calefactive, calefactory, calenture, calescent, calid, calor, calore, caloric, calorie, calorifacient, calorific, calorigenic, calorimeter, caudle, cauldron, chafe, chafery, chalder, chaldron, chaud-froid, chauffer, chauffeur, chauffeuse, decalescence, decalescent, nonchalance, nonchalant, recalescence, scald"
calc-,"calcium, stone",Latin and Greek,"calcite, calcitrant, calcium, calculate, calculus, chalicothere, chalk, recalcitrant"
"calv-, calum-","trick, lie, deceive",Latin,"calumnious, calumny, cavil, challenge"
calyp-,cover,Greek,"apocalypse, apocalyptic, apocalypticism, calyce, calyptra, Calyptrogyne, calyx, epicalyx, eucalypt, eucalyptus"
cameria-,vault,Latin,"antechamber, bicameral, camaraderie, camber, camera, chamber, chamberlain, comrade, concamerate, concameration, multicamera, tricameral, unicameral"
camiso-,shirt,Latin,"camisade, camisado, Camisard, camisole, chemise"
camp-,field,Latin,"camp, campaign, campesino, campestral, campicolous, campimetry, campo, campsite, campus, champertous, champerty, champignon, champion, decamp, decampment, encamp, encampment"
can-,dog,Latin,"canaille, canary, canicular, canicule, canid, canine, Canis, Canis Major, postcanine"
can-,"reed, rod",Greek,"cane, canister, canon, canonic"
"can-, -cin-, cant-, -cent-",sing,Latin,"accent, accentual, accentuate, accentuation, canción, canorous, cant, cantabile, cantata, cantation, cantatory, cantatrice, canticle, canticum, cantiga, cantilena, cantillate, cantillation, cantion, canto, cantor, cantus, canzona, canzone, Carmen, chanson, chansonnier, chant, chanteur, chanteuse, chanticleer, charm, concent, descant, discant, discantus, disenchant, disenchantment, disencharm, disincentive, enchant, enchantment, enchantress, incantation, incantational, incentive, plainchant, precentor, recant, recantation, succentor, vaticinate, vaticination, vaticinator"
"cand-, cend-","glowing, iridescent",Latin,"candela, candid, candidate, candle, candor, incandescent, incendiary, incense"
"cap-, -cip-, capt-, -cept-","hold, take",Latin,"capable, capacious, captive, caption, captivate, capture, conception, except, forceps, incipient, intercept, recipient"
"capit-, -cipit-",head,Latin,"achievable, achieve, achievement, ancipital, ancipitous, biceps, bicipital, cabotage, cad, caddie, cadet, cape, capital, capitular, capitulate, capitulation, captain, chapter, chaptrel, chattel, chef, chief, chieftain, co- captain, co-captaincy, decapitate, decapitation, occipital, occiput, precipitation, precipitous, quadriceps, recap, recapitulate, sincipital, sinciput, sous-chef, subcaptain, triceps, tricipital, unicipital, vice-captain, vice-captaincy"
capn-,smoke,Greek,"capnogram, capnograph, capnography, capnolagnia, capnomancy, capnometer, capnometry, capnomor, capnophile, hypercapnia, hypocapnia"
capr-,goat,Latin,"cab, caper, caprice, Capricorn, caprine"
caps-,"box, case",Latin,capsule
carbon-,coal,Latin,"bicarbonate, carbon, carbonara, carbonate, carbonation, Carboniferous, carbuncle, radiocarbon"
carcer-,jail,Latin,"chancel, chancellery, chancellor, chancery, incarcerate, incarceration, subchancel"
carcin-,cancer (disease),Latin from Greek,"carcinogenic, carcinoma"
cardi-,heart,Greek,"cardiac, cardialgia, cardiograph, cardioid, cardiologist, cardiology, cardiomegaly, cardiomyopathy, cardioplegia, cardioplegic, cardiospasm, electrocardiogram, electrocardiography, endocardium, epicardium, hemicardia, myocardium, neurocardiology, pericardium"
cardin-,hinge,Latin,"cardinal, cardinality, kern"
carn-,flesh,Latin,"carnage, carnal, carnality, carnary, carnate, carnation, carneous, carnival, carnivore, carnose, carnosity, carrion, caruncle, carunculate, charcuterie, charnel, discarnate, incarnadine, incarnate, incarnation, reincarnate, reincarnation"
carp-,fruit,Greek,"acarpous, acrocarpous, amphicarpous, angiocarpous, anisocarpic, Carpo, carpogonium, carpology, carpophagous, carpophore, carpospore, cystocarp, dipterocarp, endocarp, epicarp, exocarp, Karpos, mericarp, mesocarp, monocarpic, pericarp, polycarpic, procarp, pseudocarp"
carp-,wrist,Greek,"carpal, carpal tunnel syndrome, carpus, metacarpus"
cast-,"pure, cut",Latin,"caste, castigate, castrate, chaste, chastity, incest"
"cata-, cat-","down, against, back",Greek,"catabolic, catacomb, catalyst, catarrhine, catastrophe, catatonia, cathode, cation"
caten-,chain,Latin,"catenary, concatenation"
cathar-,pure,Greek,"catharsis, cathartic"
caud-,tail,Latin,"caudal, coda"
"caus-, -cus-",cause or motive,Latin,"accuse, because, causal, causative, cause, excuse"
"caust-, caut-",burn,Greek,"calm, catacaustic, causalgia, causalgic, caustic, cauter, cauterize, cautery, diacaustic, encaustic, holocaust, hypocaust"
cav-,hollow,Latin,"cave, cavity, excavation, cavern, cavernous, concave"
"ced-, cess-","move, yield, go, surrender",Latin,"accede, cede, concede, precede, procedure, proceed, procession, recede, secede, succeed, success"
cel-,hide,Latin,"ceiling, clandestine, conceal, occult"
celer-,quick,Latin,"acceleration, celerity"
"cen-, caen-",new,Greek,"caenogastropod, caenogenesis, Cenozoic"
cen-,empty,Greek,"cenotaph, kenosis"
"cen-, coen-",common,Greek,"cenobite, coenesthesia, coenocyte, epicene, epicœne, koinonos, koinophilia"
cens-,to assess,Latin,"censure, census"
cent-,hundred,Latin,"cent, centennial, centurion, percent, century"
centen-,hundred each,Latin,"centenarian, centenary"
centesim-,hundredth,Latin,"centesimal, centesimation"
centr-,center,Greek,"acentric, acrocentric, amniocentesis, anthropocentric, anthropocentrism, barycenter, biocentric, biocentrism, centaur, centauromachy, centesis, centre, centric, centrism, centrist, centroid, centromere, centromeric, centrosphere, centrosymmetric, centrosymmetry, centrum, eccentric, eccentrism, eccentrist, ecocentric, ecocentrism, ecocentrist, egocentric, egocentrism, enterocentesis, epicentre, holocentric, metacentric, monocentric, neocentromere, orthocenter, orthocentric, paracentesis, pericardiocentesis, technocentric, technocentrism, telocentric, thoracentesis, thoracocentesis"
centri-,center,Latin,"central, center, concentrate, concentric, centrifugal, centripetal"
cephal-,head,Greek,"acephalic, acephaly, anencephaly, autocephaly, brachiocephalic, brachycephalic, cephalic, cephalomancy, cephalometry, cephalon, cephalopagus, cephalopod, diencephalon, dolichocephalic, encephalitis, encephalogram, encephalopathy, holoprosencephaly, hydrocephalus, macrocephaly, mesaticephalic, mesencephalic, mesocephalic, metencephalon, microcephaly, myelencephalon, neencephalon, paleencephalon, prosencephalon, rhombencephalon, rhombencephalosynapsis, syncephalus, telencephalon"
ceram-,clay,Greek,ceramic
cerat-,horn,Greek,"keratin, Triceratops"
"cern-, cer-",sift,Latin,"ascertain, certain, concern, concert, decree, discern, excrement, secern, secret"
cervic-,"relating to the neck, relating to the cervix",Latin,"cervix, cervical"
ceter-,other,Latin,et cetera
chaet-,"hair, bristle, or seta",Greek,"chaetophobia, chaetophorous, Chaetomium, Chaetomorpha, Oligochaeta, Polychaeta, polychaete, spirochaete, spirochete"
chir-,of the hand or hands,Greek,"chiral, chiropractic, Chiroptera, chirurgy, enchiridion, Haplocheirus"
chelon-,relating to a turtle,Greek,"Archelon, chelonia"
chlor-,green,Greek,"chloranthy, chlorine, chlorophobia, chlorophyll, chloroplast, pyrochlore"
chondr-,cartilage,Greek,"hypochondriasis, osteochondritis"
chore-,relating to dance,Greek,"chorea, choree, choreia, choreography, chorus, hemichorea"
chord-,cord,Latin and Greek,"Chordata, cord, hexachord, monochord, polychord, tetrachord"
chres-,use,Greek,"chresard, chresonym, chrestomathic, chrestomathy, heterochresonym, heterochresonymy, orthochresonym, orthochresonymy"
"chro-, chrom-",color,Greek,"achromat, achromatic, achromatism, achromatopsia, achromatopsic, amphichroic, apochromat, auxochrome, chroma, chromatic, chromatid, chromatophore, chrome, chromium, chromogen, chromolithography, chromophobia, chromophore, chromosome, dichroic, dichroism, dichromatic, heliochrome, heterochromatic, heterochromatin, microchromosome, monochromatic, monochrome, photochromism, pleochroism, polychromatic, polychrome, trichroism, trichromatic, trichromic"
chron-,time,Greek,"anachronism, asynchronous, biochronology, chronaxie, chronic, chronicle, chronogram, chronograph, chronology, chronometer, chronometry, chronophobia, chronophotography, chronostasis, geochronology, heterochrony, hydrochronometer, isochron, protochronism, synchronic, synchronism, synchronize, synchronous, tautochrone"
chrys-,gold,Greek,"chrysalis, chryselephantine, chrysolite, chrysophobia, chrysoprase"
cili-,eyelash,Latin,"cilia, supercilious"
ciner-,ash,Latin,incineration
"cing-, cinct-",gird,Latin,succinct
circ-,"circle, ring",Latin,"circle, circular, circulate, circus"
circum-,around,Latin,"circumcise, circumference, circumlocution, circumnavigate, circumscribe"
cirr-,orange,Greek,cirrhosis
cirr-,"curl, tentacle",Latin,cirrus
cis-,"on this side of, on the side nearer to the speaker (as opposed to trans-)",Latin,"cisalpine, cisandine, cisatlantic, cisgangetic, cisgender, cisjurane, cisleithan, cislunar, cismontane, cispadane, cispontine, cisrhenane"
cit-,"call, start",Latin,"citation, cite, excite, incite, solicit, solicitous"
civ-,citizen,Latin,"civic, civil, civilian, civility, civilization"
clad-,branch,Greek,"clade, cladistics, cladogenesis, cladogram, heterocladic"
clam-,cry out,Latin,"acclaim, claim, clamor, exclamation, proclamation, reclamation"
clar-,clear,Latin,"clarity, clear, declaration"
clast-,broken,Greek,"anorthoclase, antanaclasis, clastic, iconoclast, orthoclase, osteoclast, plagioclase, pyroclastic, synclastic"
"claud-, -clud-, claus-, -clus-","close, shut",Latin,"clause, claustrophobia, conclude, exclude, exclusive, include, occlusion, occult, recluse, seclude"
clav-,key,Greek,"clavichord, clavicle, conclave"
cleist-,closed,Greek,"cleistogamy, cleistothecium, enterocleisis, kleisma"
cleithr-,"bar, key",Greek,"Clathrus, cleithrophobia, cleithrum"
cle-,call,Greek,"ecclesia, Ecclesiastes, ecclesiastic, ecclesiology, ecclesiophobia, epiclesis, paraclete"
clin-,bed,Greek,clinic
clin-,"lean, recline",Latin,"decline, declination, incline, inclination, recline"
cochl-,"snail, spiral shell",Greek,cochlea
coel-,hollow,Greek,"blastocoel, coelom, coelomate, coelomic, enterocoely, pseudocoelomate, sarcocele, schizocoelomate, schizocoely, spongocoel"
col-,strain,Latin,"colander, coulee, coulis, coulisse, couloir, cullender, cullis, percolate, percolation, percolator, piña colada, portcullis"
"col-, cult-","cultivate, till, inhabit",Latin,"acculturate, acculturation, agriculture, apiculture, bicultural, colonial, colony, countercultural, counterculture, cult, cultivable, cultivate, cultivation, cultivator, cultural, culturati, culture, deculturate, deculturation, incult, inculturation, inquiline, inquilinity, inquilinous, intercultural, multicultural, postcolonial, precolonial, subcultural, subculture"
coll-,hill,Latin,colliculus
coll-,neck,Latin,"accolade, col, collar, decollate, decollation, décolletage, encollar"
color-,color,Latin,"bicolor, Colorado, coloration, coloratura, concolorous, decolor, discolor, discoloration, encolor, multicolor, quadricolor, recolor, tricolor, unicolor, versicolor"
com-,"friendly, kind",Latin,comity
